District,Total Stamp Revenue,Bucket
Rangareddy,140245524323,Group 3
Medchal_Malkajgiri,84588491143,Group 3
Hyderabad,50245895596,Group 3
Sangareddy,29399626999,Group 3
Hanumakonda,9854717448,Group 3
Yadadri Bhuvanagiri,7588941113,Group 3
Khammam,7262014402,Group 3
Karimnagar,5253081908,Group 3
Nizamabad,5207386574,Group 3
Nalgonda,5186717313,Group 3
Mahabubnagar,3941383431,Group 2
Suryapet,3621069773,Group 2
Siddipet,3504734496,Group 2
Medak,2268598930,Group 2
Peddapalli,2237099783,Group 2
Mancherial,2192521899,Group 2
Jagtial,2148858822,Group 2
Vikarabad,1793374952,Group 1
Nagarkurnool,1760252928,Group 1
Kamareddy,1711240750,Group 1
Rajanna Sircilla,1494780657,Group 1
Wanaparthy,1490103623,Group 1
Jangoan,1481042558,Group 1
Adilabad,1443929465,Group 1
Mahabubabad,1325568104,Group 1
Nirmal,1273497797,Group 1
Jogulamba Gadwal,1205641227,Group 1
Bhadradri Kothagudem,1074903478,Group 1
Narayanpet,930401110,Group 1
Warangal,851249383,Group 1
Mulugu,734261626,Group 1
Kumurambheem Asifabad,269677619,Group 1
