district,Sum of documents_registered_rev
Rangareddy,108198682809
Medchal_Malkajgiri,64071382839
Hyderabad,38396743983
Sangareddy,22024502771
Hanumakonda,7927494100
Yadadri Bhuvanagiri,5973744502
Khammam,5606141586
Nalgonda,4521634367
Nizamabad,4046937361
Karimnagar,4024475054
Mahabubnagar,3186731550
Suryapet,2902358766
Siddipet,2625072577
Medak,1765752735
Peddapalli,1740644457
Mancherial,1668092668
Jagtial,1666081307
Kamareddy,1396196267
Vikarabad,1381189602
Nagarkurnool,1358262744
Jangoan,1329898858
Rajanna Sircilla,1169030429
Wanaparthy,1126819540
Adilabad,1066971491
Mahabubabad,1058624771
Nirmal,988708614
Jogulamba Gadwal,978779682
Bhadradri Kothagudem,824712666
Warangal,738341643
Narayanpet,722273314
Mulugu,515528121
Kumurambheem Asifabad,227462583
