Sectors,Mmm,Total_Sector_Investments
Agro based incl Cold Storages,Aug,940000000
Agro based incl Cold Storages,Dec,2120000000
Agro based incl Cold Storages,Feb,520000000
Agro based incl Cold Storages,Jan,830000000
Agro based incl Cold Storages,Jul,1320000000
Agro based incl Cold Storages,Mar,2890000000
Automobile,Dec,10000000
Automobile,Feb,0
Automobile,Jan,12540000000
Automobile,Jul,370000000
Automobile,Mar,70000000
Beverages,Aug,10000000
Beverages,Dec,2930000000
Beverages,Feb,6850000000
Beverages,Jan,8580000000
Beverages,Jul,120000000
Beverages,Mar,120000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Aug,9710000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Dec,300000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Feb,950000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Jan,360000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Jul,2780000000
"Cement, Cement & Concrete Products, Fly Ash Bricks",Mar,1190000000
Electrical and Electronic Products,Aug,270000000
Electrical and Electronic Products,Dec,290000000
Electrical and Electronic Products,Feb,510000000
Electrical and Electronic Products,Jan,2680000000
Electrical and Electronic Products,Jul,1760000000
Electrical and Electronic Products,Mar,600000000
Engineering,Aug,3500000000
Engineering,Dec,4390000000
Engineering,Feb,13300000000
Engineering,Jan,1860000000
Engineering,Jul,2520000000
Engineering,Mar,4500000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Aug,90000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Dec,52740000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Feb,110000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Jan,110000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Jul,50000000
"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",Mar,170000000
Food Processing,Aug,2620000000
Food Processing,Dec,4660000000
Food Processing,Feb,2810000000
Food Processing,Jan,2420000000
Food Processing,Jul,3430000000
Food Processing,Mar,5430000000
Granite and Stone Crushing,Aug,800000000
Granite and Stone Crushing,Dec,800000000
Granite and Stone Crushing,Feb,830000000
Granite and Stone Crushing,Jan,1660000000
Granite and Stone Crushing,Jul,700000000
Granite and Stone Crushing,Mar,900000000
Industrial Parks and IT Buildings,Feb,2800000000
Others,Aug,2660000000
Others,Dec,5910000000
Others,Feb,2570000000
Others,Jan,2850000000
Others,Jul,7430000000
Others,Mar,2050000000
Paper and Printing,Aug,930000000
Paper and Printing,Dec,1260000000
Paper and Printing,Feb,1790000000
Paper and Printing,Jan,740000000
Paper and Printing,Jul,10600000000
Paper and Printing,Mar,2410000000
Pharmaceuticals and Chemicals,Aug,9530000000
Pharmaceuticals and Chemicals,Dec,21070000000
Pharmaceuticals and Chemicals,Feb,18580000000
Pharmaceuticals and Chemicals,Jan,9380000000
Pharmaceuticals and Chemicals,Jul,28070000000
Pharmaceuticals and Chemicals,Mar,7500000000
Plastic and Rubber,Aug,15680000000
Plastic and Rubber,Dec,19560000000
Plastic and Rubber,Feb,2700000000
Plastic and Rubber,Jan,18000000000
Plastic and Rubber,Jul,3280000000
Plastic and Rubber,Mar,7520000000
R&D,Aug,1920000000
R&D,Dec,700000000
R&D,Feb,4650000000
R&D,Jan,2310000000
R&D,Jul,3550000000
R&D,Mar,4790000000
"Real Estate,Industrial Parks and IT Buildings",Aug,20080000000
"Real Estate,Industrial Parks and IT Buildings",Feb,178430000000
"Real Estate,Industrial Parks and IT Buildings",Jan,13970000000
"Real Estate,Industrial Parks and IT Buildings",Jul,11240000000
"Real Estate,Industrial Parks and IT Buildings",Mar,33990000000
Solar and Other Renewable Energy,Aug,370000000
Solar and Other Renewable Energy,Dec,420000000
Solar and Other Renewable Energy,Feb,40000000
Solar and Other Renewable Energy,Jan,2460000000
Solar and Other Renewable Energy,Jul,3280000000
Solar and Other Renewable Energy,Mar,1510000000
Textiles,Aug,1050000000
Textiles,Dec,450000000
Textiles,Feb,550000000
Textiles,Jan,610000000
Textiles,Jul,800000000
Textiles,Mar,650000000
Thermal Power Plant,Aug,870000000
Wood and Leather,Aug,80000000
Wood and Leather,Dec,70000000
Wood and Leather,Feb,90000000
Wood and Leather,Jan,190000000
Wood and Leather,Jul,100000000
Wood and Leather,Mar,40000000
