Months,Total Vehicle Sold,district
Oct,124646,Hyderabad
Oct,110622,Medchal_Malkajgiri
Mar,108781,Hyderabad
Aug,105226,Hyderabad
Nov,102456,Hyderabad
Oct,102260,Rangareddy
Jun,97890,Hyderabad
Jul,95354,Hyderabad
Jan,95090,Hyderabad
Mar,93590,Medchal_Malkajgiri
Sep,93040,Hyderabad
Feb,91332,Hyderabad
Nov,89041,Medchal_Malkajgiri
Aug,88418,Medchal_Malkajgiri
Dec,87164,Hyderabad
Mar,86816,Rangareddy
Jun,85487,Medchal_Malkajgiri
Aug,82717,Rangareddy
Jul,82340,Medchal_Malkajgiri
Jan,81714,Medchal_Malkajgiri
Nov,81179,Rangareddy
Dec,80375,Medchal_Malkajgiri
Jun,79999,Rangareddy
Feb,79445,Medchal_Malkajgiri
Jan,78064,Rangareddy
Sep,77635,Medchal_Malkajgiri
Jul,76784,Rangareddy
Dec,76494,Rangareddy
Sep,74530,Rangareddy
Apr,74320,Hyderabad
Feb,73547,Rangareddy
May,68180,Hyderabad
Apr,65741,Medchal_Malkajgiri
Apr,58943,Rangareddy
May,57969,Medchal_Malkajgiri
May,55300,Rangareddy
Oct,29854,Sangareddy
Oct,28887,Nizamabad
Oct,28333,Nalgonda
Mar,25725,Sangareddy
Oct,25572,Warangal
Oct,25173,Khammam
Jun,24253,Sangareddy
Nov,23599,Sangareddy
Feb,23520,Sangareddy
Jan,23407,Sangareddy
Jan,23354,Nalgonda
Aug,22885,Sangareddy
Jun,22294,Nizamabad
Jun,22121,Warangal
Jul,21993,Sangareddy
Jun,21907,Nalgonda
Nov,21818,Nizamabad
Dec,21735,Sangareddy
Sep,21595,Sangareddy
Jun,21540,Khammam
Jan,21188,Khammam
Oct,20221,Suryapet
Aug,20163,Nizamabad
Oct,19910,Mahabubnagar
Nov,19855,Warangal
Jul,19749,Warangal
Jul,19565,Nalgonda
Dec,19488,Nizamabad
Aug,19453,Warangal
Mar,19425,Khammam
Mar,19201,Nalgonda
Jul,19165,Nizamabad
Feb,19051,Nizamabad
Jan,18880,Warangal
Mar,18838,Nizamabad
Oct,18719,Karimnagar
Nov,18649,Nalgonda
Oct,18593,Vikarabad
May,18572,Sangareddy
Jan,18494,Nizamabad
Feb,18362,Nalgonda
Jul,18243,Khammam
Apr,18189,Sangareddy
Sep,17645,Nizamabad
Feb,17638,Khammam
Sep,17288,Khammam
Aug,17267,Nalgonda
Aug,17172,Khammam
Oct,17147,Bhadradri Kothagudem
May,16939,Nalgonda
Jun,16920,Mahabubnagar
Nov,16782,Khammam
Jun,16590,Suryapet
Mar,16577,Warangal
May,16514,Nizamabad
Jun,16406,Vikarabad
Dec,16256,Warangal
Sep,16243,Nalgonda
May,16013,Khammam
Mar,15988,Vikarabad
Sep,15900,Warangal
Feb,15821,Warangal
Jun,15776,Karimnagar
May,15669,Warangal
Jan,15304,Suryapet
Nov,15278,Mahabubnagar
Nov,15271,Vikarabad
Jul,15212,Mahabubnagar
Apr,15205,Khammam
Jun,15197,Siddipet
Dec,15143,Nalgonda
Jan,14733,Bhadradri Kothagudem
Oct,14707,Jagtial
Oct,14685,Siddipet
Oct,14578,Kamareddy
Jul,14461,Suryapet
Jul,14419,Vikarabad
Aug,14413,Karimnagar
Feb,14365,Vikarabad
Aug,14316,Mahabubnagar
Dec,14176,Khammam
Jun,14085,Bhadradri Kothagudem
Jan,14021,Vikarabad
Mar,13985,Bhadradri Kothagudem
Aug,13955,Vikarabad
Mar,13883,Mahabubnagar
Mar,13771,Suryapet
